X longitude,Y Latitude,ID,Nama Objek,Alamat,Kontak,Type,Desa,Kecamatan,Kabupaten,Prov,Master_category
-7.82146277779,110.36740435400,3471010003,Kaki Kita Paris,"JL. Parang Tritis, No. 40, Yogyakarta, DI Yogyakarta",0274 6945 857,Salon & Spa,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.82383000000,110.36378510100,3471010003,Klinik Pengobatan Alternatif Mantrijeron,"JL. Jogokaryan, No. 12 B, Mantrijeron, Yogyakarta",274 787 7803,Clinic,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81941000000,110.35571336700,3471010002,Abidel Saampiri Corp.,"JL. Bantul, Yogyakarta",", 0819 0330 1122",Public Health Service,Suryodiningratan,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.82100000000,110.36160000000,3471010002,Puskesmas Mantrijeron,Jl. DI. Panjaitan 82,,Public Health Service,Suryodiningratan,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81850000000,110.36553000000,3471010003,Sari Kartika Spa,"JL Tirtodipuran, No. 49, Yogyakarta, DI Yogyakarta",027 441 1160,Salon & Spa,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.82148400000,110.36519400000,3471010003,Klinik Fisioterapi Murono,"JL. Mangkuyudan, Mantrijeron, No. 51, Yogyakarta, DI Yogyakarta",0274 411 421,Clinic,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81881000000,110.36242450700,3471010003,Bidan Hana Pertiwi,"JL. D.I Panjaitan, No. 102, Yogyakarta",", 089 850 08 303",Clinic,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81949000000,110.35591141900,3471010002,Kusni Sri Marwati AMd Keb. Bidan,"JL. Bantul, Yogyakarta",274 7474 835,Clinic,Suryodiningratan,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81874755654,110.36238159200,3471010003,"Klinik dr Anisah , SpOG","JL Panjaitan, No. 96, Yogyakarta, DI Yogyakarta",0274 376 793,Clinic,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81758989740,110.36780994700,3471010003,Family Dental Care (FDC),"JL. Parangtritis, No. 69 C, Yogyakarta, DI Yogyakarta",0274 372 107,Clinic,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.82396532488,110.36360271000,3471010003,Novell Pharm.,"JL. Jogokaryan, No. 27, Yogyakarta, DI Yogyakarta",0274 450 350,Pharmacy,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.82152100000,110.36472610000,3471010003,Bidan Yuliantisari AM Keb,"JL Mangkuyudan, No. 304, Yogyakarta, DI Yogyakarta",0274 710 3752,Clinic,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
